순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
1,LG,21,26.68,697,0,0,144,72,58,32,81,1272.1,561,507,5453,1126,197,18,80,545,18,98,1068,5,44,3.59,3.95,1.31,120.3,110,26.68,6.45
2,KT,21,24.65,613,2,2,144,76,58,33,74,1262.2,582,516,5388,1173,184,13,85,487,18,42,1060,1,56,3.68,3.74,1.32,122.1,118.7,24.65,3.64
3,두산,21,21.23,658,2,1,144,71,65,28,61,1269.1,656,601,5631,1295,212,21,104,587,16,73,1045,7,52,4.26,4.27,1.48,101.2,101.1,21.23,-0.36
4,삼성,21,19.51,676,2,1,144,76,59,46,80,1259,658,601,5536,1297,230,24,131,530,13,51,1038,3,58,4.3,4.39,1.45,105.1,103,19.51,1.15
5,NC,21,16.77,696,3,1,144,67,68,33,80,1256.2,697,634,5622,1268,231,15,125,592,14,77,1055,8,75,4.54,4.51,1.48,100,100.1,16.77,-5.27
6,KIA,21,15.09,676,1,0,144,58,76,36,94,1269,752,693,5701,1286,215,16,134,622,5,104,951,8,58,4.91,4.91,1.5,90.5,90.5,15.09,-5.75
7,키움,21,13.83,629,1,1,144,69,67,30,56,1261.1,700,607,5591,1279,223,7,101,566,27,80,896,4,59,4.33,4.43,1.46,102.4,98.1,13.83,-2.72
8,롯데,21,10.87,732,1,1,144,65,71,37,76,1271,808,760,5759,1333,253,16,133,657,19,89,1055,5,102,5.38,4.75,1.57,84.5,94,10.87,-7.04
9,SSG,21,10.49,660,0,0,144,66,64,25,56,1276.2,741,687,5706,1296,214,14,149,630,27,77,1012,9,41,4.84,4.86,1.51,92.6,93.5,10.49,-9.41
10,한화,21,9.99,717,1,0,144,49,83,21,62,1258.2,739,654,5672,1208,223,19,115,673,23,101,1011,11,56,4.68,4.7,1.49,93.7,94.8,9.99,-6.54
