순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
1,SK,18,21.96,634,0,0,144,78,65,29,63,1274.2,729,664,5563,1353,232,17,189,425,15,74,1130,2,62,4.69,5.13,1.4,112.1,103.4,21.96,-10.28
2,한화,18,19.87,685,0,0,144,77,67,37,62,1274,761,701,5637,1394,246,13,164,472,9,89,1124,7,78,4.95,5.04,1.47,107,105.9,19.87,-5.47
3,두산,18,19.58,615,1,0,144,93,51,41,56,1288.2,756,716,5700,1401,266,16,154,476,17,109,1025,2,72,5,5.12,1.46,101.1,98.4,19.58,-5.12
4,삼성,18,18.26,618,0,0,144,68,72,33,56,1285.1,802,745,5740,1477,291,18,185,441,10,107,1114,5,45,5.22,5.23,1.49,101.7,100.5,18.26,-10.91
5,넥센,18,18.24,591,4,1,144,75,69,32,72,1282,780,723,5646,1442,252,18,178,416,13,98,1021,4,59,5.08,5.22,1.45,101.5,97.8,18.24,-12.66
6,KT,18,16.76,631,4,1,144,59,82,24,45,1274.1,834,760,5743,1580,272,23,194,409,25,84,1025,1,63,5.37,5.31,1.56,98.7,97.9,16.76,-20.35
7,KIA,18,16.61,575,4,0,144,70,74,26,43,1270.2,826,766,5708,1511,271,17,181,445,28,69,1017,3,65,5.43,5.23,1.54,94.6,98.6,16.61,-19.08
8,롯데,18,16.03,686,0,0,144,68,74,29,64,1283.2,846,771,5788,1410,295,26,166,548,23,73,1164,7,65,5.41,5.1,1.53,96.5,102.6,16.03,-16.1
9,LG,18,13.21,601,3,2,144,68,75,29,43,1268.2,816,750,5677,1434,266,19,159,453,13,89,1058,4,72,5.32,5.05,1.49,94.8,99.2,13.21,-17.54
10,NC,18,11.15,622,1,0,144,58,85,24,51,1264,844,773,5701,1443,248,20,186,537,17,68,1010,6,92,5.5,5.54,1.57,94.3,94.9,11.15,-19.46
