0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
¼ø,ÀÌ¸§,ÆÀ,WAR*,G,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2Å¸,3Å¸,È¨·±,·çÅ¸,Å¸Á¡,µµ·ç,µµ½Ç,º¼³Ý,»ç±¸,°í4,»ïÁø,º´»ì,ÈñÅ¸,Èñºñ,Å¸À²,Ãâ·ç,ÀåÅ¸,OPS,wOBA,wRC+,WAR*,WPA
1,±èÀçÈ¯,17µÎLF,7.45,144,636,544,110,185,34,2,35,328,115,4,1,81,7,10,123,8,0,4,0.34,0.429,0.603,1.032,0.44,170.7,7.45,7.45
2,¹Ú°Ç¿ì,17µÎCF,7,131,543,483,91,177,40,2,20,281,78,20,3,41,10,2,64,15,5,4,0.366,0.424,0.582,1.006,0.433,163.7,7,2.76
3,ÃÖÇü¿ì,17KLF,6.65,142,629,514,98,176,36,3,26,296,120,0,1,96,11,8,82,15,0,8,0.342,0.45,0.576,1.026,0.442,163.5,6.65,5.45
4,ÃÖÁ¤,17S3B,6.56,130,527,430,89,136,18,1,46,294,113,1,5,70,19,10,107,8,0,8,0.316,0.427,0.684,1.111,0.456,167.5,6.56,5
5,³ª¼º¹ü,17NRF,5.78,125,561,498,103,173,42,2,24,291,99,17,7,48,12,10,116,8,0,3,0.347,0.415,0.584,1,0.428,154.3,5.78,4.64
6,¼Õ¾Æ¼·,17·ÔRF,5.72,144,667,576,113,193,35,4,20,296,80,25,8,83,4,8,96,7,1,3,0.335,0.42,0.514,0.934,0.41,140,5.72,4.79
7,·Î»ç¸®¿À,17ÇÑ1B,5.18,119,510,445,100,151,30,1,37,294,111,10,5,50,10,4,61,12,0,5,0.339,0.414,0.661,1.074,0.45,165.3,5.18,3.91
8,¹ö³ªµð³ª,17KCF,5.12,139,621,557,118,178,26,8,27,301,111,32,7,41,11,2,112,9,3,9,0.32,0.372,0.54,0.913,0.39,128.4,5.12,3.83
9,±¸ÀÚ¿í,17»ïRF,4.96,144,647,564,108,175,39,10,21,297,107,10,4,63,10,1,138,1,0,10,0.31,0.383,0.527,0.91,0.394,130.5,4.96,3.11
10,±è¼±ºó,17KSS,4.96,137,529,476,84,176,34,1,5,227,64,4,4,39,5,4,40,10,5,4,0.37,0.42,0.477,0.897,0.399,134,4.96,1.92
11,±èÇÏ¼º,17³ØSS,4.93,141,601,526,90,159,36,3,23,270,114,16,8,58,8,2,65,8,2,7,0.302,0.376,0.513,0.889,0.385,125.4,4.93,3.21
12,¹Ú¹Î¿ì,17N2B,4.71,106,452,388,84,141,25,4,3,183,47,11,1,46,11,0,51,8,3,4,0.363,0.441,0.472,0.913,0.412,145.5,4.71,4.03
13,¾ÈÄ¡È«,17K2B,4.39,132,545,487,95,154,29,2,21,250,93,7,0,43,4,1,70,19,6,5,0.316,0.373,0.513,0.886,0.382,123,4.39,3.8
14,½ºÅ©·°½º,17N1B,4.26,115,518,437,91,131,24,0,35,260,111,4,0,65,12,2,134,9,0,4,0.3,0.402,0.595,0.997,0.423,150.1,4.26,4.78
15,¼­°ÇÃ¢,17³Ø2B,4.2,139,615,539,87,179,28,3,6,231,76,15,6,67,1,1,68,11,2,6,0.332,0.403,0.429,0.832,0.378,118.3,4.2,3.38
16,·¯ÇÁ,17»ï1B,3.92,134,591,515,90,162,38,0,31,293,124,2,2,60,12,4,107,14,0,4,0.315,0.396,0.569,0.965,0.414,142.6,3.92,4.11
17,¿ÀÀçÀÏ,17µÎ1B,3.87,128,466,412,62,126,27,0,26,231,89,1,1,45,5,0,80,5,1,3,0.306,0.379,0.561,0.939,0.403,146.3,3.87,2.67
18,ÇÑÀ¯¼¶,17SRF,3.73,103,414,350,64,103,21,2,29,215,73,2,2,46,15,2,79,8,0,3,0.294,0.396,0.614,1.01,0.426,149.7,3.73,2.95
19,¹Ú¿ëÅÃ,17LDH,3.7,138,596,509,83,175,23,2,14,244,90,4,2,72,6,6,88,13,0,9,0.344,0.425,0.479,0.904,0.402,140.1,3.7,5.62
20,ÀÌ´ëÈ£,17·Ô1B,3.68,142,608,540,73,173,13,0,34,288,111,1,1,50,15,8,84,22,0,3,0.32,0.391,0.533,0.925,0.4,132.5,3.68,4.25
21,ÀÌÁ¤ÈÄ,17³ØCF,3.67,144,622,552,111,179,29,8,2,230,47,12,4,60,6,2,67,9,2,2,0.324,0.395,0.417,0.812,0.37,112.1,3.67,1.35
22,³ªÁö¿Ï,17KDH,3.53,137,551,459,85,138,20,3,27,245,94,1,1,62,23,0,105,10,0,7,0.301,0.405,0.534,0.939,0.409,140.8,3.53,3
23,°­¹ÎÈ£,17·ÔC,3.51,130,515,456,62,130,22,1,22,220,68,0,2,41,15,6,104,15,0,3,0.285,0.361,0.482,0.844,0.367,110.9,3.51,0.96
24,ÀüÁØ¿ì,17·ÔCF,3.36,110,496,455,76,146,27,1,18,229,69,2,4,30,7,2,70,11,2,2,0.321,0.37,0.503,0.874,0.381,120.5,3.36,2.4
25,¹Îº´Çå,17µÎRF,3.35,123,520,447,73,136,21,0,14,199,71,3,4,47,19,2,74,14,1,6,0.304,0.389,0.445,0.834,0.374,122.7,3.35,0.9
26,¿¡¹Ý½º,17µÎDH,3.18,138,581,514,82,152,19,0,27,252,90,2,0,61,3,0,114,15,0,3,0.296,0.372,0.49,0.862,0.379,128.6,3.18,3.05
27,Á¤±Ù¿ì,17ÇÑ2B,3.08,105,442,391,73,129,22,0,11,184,46,6,6,32,10,3,48,12,5,3,0.33,0.392,0.471,0.863,0.379,120.1,3.08,1.72
28,¾çÀÇÁö,17µÎC,3.02,111,406,347,47,96,15,0,14,153,67,1,1,43,12,1,53,17,1,3,0.277,0.373,0.441,0.814,0.364,116.7,3.02,0.77
29,ÀÌ¹üÈ£,17K3B,3,115,447,382,57,104,14,0,25,193,89,0,0,52,7,3,81,9,0,6,0.272,0.365,0.505,0.87,0.375,118.2,3,2.29
30,¼Û±¤¹Î,17ÇÑ3B,2.71,117,473,437,71,143,26,0,13,208,75,2,3,21,3,1,88,11,4,8,0.327,0.356,0.476,0.832,0.362,108.7,2.71,0.9
31,¹øÁî,17·Ô2B,2.62,116,468,423,71,128,38,0,15,211,57,10,7,29,11,0,100,18,2,3,0.303,0.361,0.499,0.859,0.375,116.2,2.62,0.86
32,À¯°­³²,17LC,2.57,118,364,324,43,90,13,0,17,154,66,2,0,14,15,0,72,4,9,2,0.278,0.335,0.475,0.811,0.346,105.5,2.57,1.4
33,¼Õ½ÃÇå,17NSS,2.56,124,391,349,32,122,17,1,5,156,45,1,0,16,8,1,44,5,13,5,0.35,0.386,0.447,0.833,0.362,111,2.56,-0.01
34,±èÅÂ±Õ,17ÇÑDH,2.55,94,407,356,51,121,22,0,17,194,76,0,0,43,4,7,56,13,0,4,0.34,0.413,0.545,0.958,0.413,142.3,2.55,2.58
35,ÃÖÁÖÈ¯,17µÎ2B,2.54,129,452,399,65,120,16,6,7,169,57,3,2,38,9,1,58,10,1,5,0.301,0.37,0.424,0.794,0.357,108.7,2.54,0.88
36,·ÎÇÏ½º,17kCF,2.53,83,367,336,52,101,27,3,18,188,56,5,8,23,5,0,81,6,0,3,0.301,0.352,0.56,0.911,0.388,124.7,2.53,1.44
37,±ÇÈñµ¿,17NLF,2.41,141,554,472,72,135,20,2,19,216,86,3,3,51,17,1,90,12,7,7,0.286,0.371,0.458,0.829,0.363,110.8,2.41,1.51
38,±èÁÖÂù,17K1B,2.34,122,478,440,78,136,39,2,12,215,70,9,2,31,4,0,59,17,2,1,0.309,0.359,0.489,0.848,0.372,116,2.34,2
39,ÀÌ¸í±â,17KRF,2.33,115,512,464,79,154,24,4,9,213,63,8,7,28,3,0,57,2,14,3,0.332,0.372,0.459,0.831,0.361,108.6,2.33,0.76
