0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
¼ø,ÀÌ¸§,ÆÀ,WAR,ÃâÀå,¿ÏÅõ,¿ÏºÀ,¼±¹ß,½Â,ÆÐ,¼¼,È¦µå,ÀÌ´×,½ÇÁ¡,ÀÚÃ¥,Å¸ÀÚ,¾ÈÅ¸,2Å¸,3Å¸,È¨·±,º¼³Ý,°í4,»ç±¸,»ïÁø,º¸Å©,ÆøÅõ,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
1,¹Ì¶õ´Ù,21µÎ,7.1,28,1,1,28,14,5,0,0,173.2,49,45,709,135,21,1,11,63,0,1,225,1,7,2.33,2.67,1.14,185,161.1,7.1,3.27
2,¹éÁ¤Çö,21»ï,5.27,27,0,0,27,14,5,0,0,157.2,54,46,648,142,25,1,15,54,2,2,109,0,5,2.63,4.21,1.24,171.9,107.3,5.27,1.78
3,°í¿µÇ¥,21K,5.23,26,1,1,25,11,6,0,1,166.2,59,54,664,147,20,2,9,27,1,14,130,0,1,2.92,3.19,1.04,154,139.2,5.23,2.27
4,ÄÌ¸®,21L,4.97,30,0,0,30,13,8,0,0,177,64,62,744,160,25,0,12,60,3,11,142,1,7,3.15,3.76,1.24,136.8,115.1,4.97,1.61
5,¿øÅÂÀÎ,21»ï,4.76,26,0,0,26,14,7,0,0,158.2,59,54,655,147,32,1,11,51,1,5,129,1,5,3.06,3.65,1.25,147.4,123.4,4.76,2.41
6,¿äÅ°½Ã,21Å°,4.68,31,0,0,31,16,9,0,0,181.1,71,59,739,171,24,0,12,46,2,4,131,0,9,2.93,3.54,1.2,151.4,122.4,4.68,1.62
7,ºäÄ³³Í,21»ï,4.54,30,1,1,30,16,5,0,0,177,71,61,758,173,25,4,13,59,2,2,162,0,7,3.1,3.46,1.31,145.5,130.3,4.54,1.66
8,·çÄ£½ºÅ°,21N,4.5,30,0,0,30,15,10,0,0,178.2,76,63,754,160,24,1,12,55,0,10,177,2,6,3.17,3.32,1.2,143.1,135.9,4.5,1.88
9,¼ö¾Æ·¹Áî,21L,4.44,23,0,0,22,10,2,0,0,115.1,33,28,473,91,16,2,4,41,0,4,126,0,2,2.18,2.77,1.15,197.4,157.7,4.44,2.6
10,ÃÖ¿øÁØ,21µÎ,4.16,29,0,0,29,12,4,0,0,158.1,65,58,673,160,31,4,15,37,1,10,113,0,0,3.3,4.01,1.24,130.8,107.1,4.16,1.17
11,·ÎÄÏ,21µÎ,4.12,21,1,0,21,9,9,0,0,124,44,41,540,132,20,2,5,42,1,12,112,1,1,2.98,3.33,1.4,144.9,130.9,4.12,1
12,¹Ú¼¼¿õ,21·Ô,4.01,28,1,1,28,10,9,0,0,163,75,72,685,141,24,0,20,53,0,10,125,0,17,3.98,4.55,1.19,114.3,98.1,4.01,-0.23
13,µ¥½ºÆÄÀÌ³×,21K,4,33,0,0,33,13,10,0,0,188.2,81,71,819,175,30,3,10,78,0,7,165,0,15,3.39,3.62,1.34,132.6,122.7,4,0.79
14,Á¤ÇØ¿µ,21K,3.79,64,0,0,0,5,4,34,0,65.1,18,16,272,49,10,0,5,28,1,4,49,0,1,2.2,4.25,1.18,201.8,104.7,3.79,2.88
15,ÆÄ½¼½º,21N,3.73,24,1,0,24,4,8,0,0,133,56,55,577,109,16,2,9,63,0,11,148,1,10,3.72,3.66,1.29,122,123.3,3.73,0.5
16,Å·¾ö,21ÇÑ,3.72,25,0,0,25,10,8,0,0,144,58,51,591,117,22,0,11,41,1,5,131,2,4,3.19,3.44,1.1,137.4,129.2,3.72,1.6
17,Á¤¿ì¿µ,21L,3.21,70,0,0,0,7,3,2,27,65,16,16,263,43,9,0,0,26,1,8,41,0,2,2.22,3.59,1.06,194.7,123.3,3.21,1.94
18,°í¿ì¼®,21L,3.13,63,0,0,0,1,5,30,0,58,15,14,240,47,10,1,3,23,5,3,68,0,1,2.17,2.75,1.21,198.6,157.6,3.13,-0.2
19,°­Àç¹Î,21ÇÑ,3.12,58,0,0,0,2,1,5,13,63.1,16,15,269,51,13,0,2,26,3,5,55,1,1,2.13,3.33,1.22,205.5,133.7,3.12,1.1
20,¸æµ§,21K,3.1,21,0,0,21,8,3,0,0,120,53,48,502,109,18,2,12,35,0,8,104,3,2,3.6,3.97,1.2,123.5,111.9,3.1,0.51
21,±èÀçÀ±,21K,3.07,65,0,0,0,4,3,32,0,67,19,18,275,57,8,0,5,24,4,0,64,0,2,2.42,3.29,1.21,185.8,135.2,3.07,1.38
22,¿À½ÂÈ¯,21»ï,3.03,64,0,0,0,0,2,44,0,62,17,14,252,56,15,3,3,16,3,2,57,0,2,2.03,2.85,1.16,222.1,157.9,3.03,4.31
23,½ºÆ®·¹ÀÏ¸®,21·Ô,3.02,31,0,0,31,10,12,0,0,165.2,85,75,714,162,25,2,12,66,0,8,164,1,8,4.07,3.63,1.38,111.5,122.8,3.02,0.14
24,ÆùÆ®,21S,2.95,26,0,0,26,8,5,0,0,145.2,66,56,604,114,22,1,12,45,1,6,157,1,2,3.46,3.28,1.09,129.7,139.2,2.95,0.56
25,±è¹Î¿ì,21ÇÑ,2.94,29,0,0,28,14,10,0,0,155.1,71,69,662,131,23,1,15,76,1,7,125,1,5,4,4.56,1.33,109.6,97.7,2.94,0.39
26,ÀåÇö½Ä,21K,2.93,69,0,0,0,1,5,1,34,76.2,28,28,336,67,7,1,7,42,1,3,80,0,8,3.29,4.15,1.42,135.3,107.3,2.93,1.98
27,È«°ÇÈñ,21µÎ,2.92,65,0,0,0,6,6,3,17,74.1,23,23,303,65,11,0,3,27,0,0,82,1,7,2.78,2.74,1.24,154.9,158.9,2.92,0.6
28,±èÅÃÇü,21S,2.83,59,0,0,0,5,1,7,4,75.1,23,20,316,61,11,0,3,42,5,3,62,0,3,2.39,3.8,1.37,187.8,118.9,2.83,2.25
29,½Å¹ÎÇõ,21N,2.66,30,0,0,25,9,6,0,0,145,75,71,625,155,28,3,17,44,0,5,107,2,2,4.41,4.4,1.37,103,102.9,2.66,0.11
30,¹èÁ¦¼º,21K,2.55,26,0,0,26,9,10,0,0,141.2,67,58,621,126,27,1,6,82,1,1,136,0,9,3.68,3.7,1.47,121.9,120.3,2.55,0.35
