0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
37,정찬헌,20L,0,19,1,1,19,7,4,0,0,110.1,51,43,470,116,22,1,10,31,0,4,85,0,5,3.51,4.15,1.33,131.9,111.4,0,0.66
38,최원태,20키,0,21,0,0,21,7,6,0,0,110,68,62,478,115,16,1,16,37,2,7,67,0,6,5.07,5.37,1.38,93,86.1,0,-0.64
39,서준원,20롯,0,31,0,0,20,7,6,0,0,107.2,71,62,480,130,18,0,16,31,1,5,60,0,3,5.18,5.35,1.5,94,89.8,0,-1.13
40,브리검,20키,0,21,0,0,21,9,5,0,0,107,45,43,456,98,7,2,6,42,1,5,105,0,8,3.62,3.61,1.31,130.5,129.1,0,1.08
41,이민우,20K,0,22,0,0,22,6,10,0,0,106,87,80,486,129,20,4,11,47,0,6,67,0,3,6.79,5.14,1.66,70.7,93.3,0,-2.87
42,김민수,20K,0,33,0,0,18,3,8,0,0,103.1,80,70,482,151,22,1,14,30,0,4,63,0,6,6.1,5.08,1.75,78.8,93.4,0,-3.55
43,이민호,20L,0,20,0,0,16,4,4,0,0,97.2,46,40,434,94,19,0,5,44,1,10,67,1,4,3.69,4.48,1.41,125.6,104.4,0,0.54
44,구창모,20N,0,15,0,0,14,9,0,0,1,93.1,20,18,348,58,12,0,7,18,0,0,102,0,2,1.74,2.92,0.81,281.5,165.6,0,2.8
45,이재학,20N,0,19,0,0,19,5,6,0,0,90.2,66,66,410,105,21,1,14,43,0,5,61,1,4,6.55,5.81,1.63,74.6,83.5,0,-1.36
46,송명기,20N,0,36,0,0,12,9,3,0,0,87.2,37,36,372,78,13,0,12,39,1,2,72,0,7,3.7,5.06,1.34,132.2,95.9,0,0.1
47,김대우,20삼,0,28,0,0,9,3,7,0,1,77.2,49,44,350,95,17,1,9,26,0,6,37,1,1,5.1,5.35,1.56,96.2,91.3,0,-0.91
48,채드벨,20한,0,16,0,0,16,2,8,0,0,77,54,51,346,85,11,0,10,35,1,5,61,0,3,5.96,5.18,1.56,79.3,92.5,0,-1.01
49,조영우,20S,0,35,0,0,7,2,4,0,0,77,52,51,340,96,18,1,12,25,0,2,38,0,4,5.96,5.65,1.57,80.9,86.4,0,-0.71
50,정우영,20L,0,65,0,0,0,4,4,5,20,75,26,26,305,48,5,0,3,29,3,11,59,0,1,3.12,3.98,1.03,148.3,117.4,0,2.14
51,박치국,20두,0,63,0,0,0,4,4,0,6,71.2,34,23,317,65,12,2,5,34,4,5,66,0,1,2.89,4.09,1.38,160.4,113.5,0,-0.27
52,주권,20K,0,77,0,0,0,6,2,0,31,70,25,21,294,54,11,0,6,32,1,1,37,0,0,2.7,4.98,1.23,177.9,95.5,0,1.16
53,홍건희,20K두,0,60,0,0,0,3,4,1,8,68.2,39,38,299,74,14,3,8,22,0,5,60,0,3,4.98,4.5,1.4,93.6,102.8,0,-1.1
54,김윤식,20L,0,23,0,0,11,2,4,0,2,67.2,50,47,308,87,16,1,7,24,0,6,38,1,2,6.25,5.11,1.64,74,90.5,0,-1.24
55,김영규,20N,0,20,0,0,13,2,2,0,1,67.2,47,41,296,83,9,2,12,14,0,2,55,2,5,5.45,4.95,1.43,89.6,98.5,0,-1.22
56,김이환,20한,0,17,0,0,15,2,7,0,0,64.2,50,49,312,75,13,0,9,44,0,4,41,0,4,6.82,6.32,1.84,69.3,75.8,0,-1.19
57,김태훈,20키,0,53,0,0,2,7,0,0,10,64,34,30,281,70,14,1,1,22,1,5,40,0,3,4.22,3.73,1.44,111.8,127,0,-0.3
58,유원상,20K,0,62,0,0,0,2,1,2,9,64,32,27,271,52,12,0,8,28,1,1,37,0,5,3.8,5.34,1.25,126.5,89,0,0.01
59,차우찬,20L,0,13,0,0,13,5,5,0,0,64,39,38,287,71,14,1,8,28,1,2,51,0,1,5.34,4.95,1.55,86.6,92.8,0,-0.01
60,김태훈,20S,0,33,0,0,8,1,6,0,4,62,52,51,281,61,13,0,8,39,0,4,43,0,10,7.4,5.93,1.61,65.2,82.1,0,-1.78
61,서진용,20S,0,63,0,0,0,2,7,8,12,61,33,28,264,52,4,1,11,34,1,1,56,0,7,4.13,5.74,1.41,116.8,85.4,0,-1.57
62,김재윤,20K,0,56,0,0,0,5,3,21,1,60.2,23,22,256,62,4,2,7,15,3,0,58,0,0,3.26,3.74,1.27,147.2,127.7,0,0.16
63,최성영,20N,0,14,0,0,13,2,4,0,0,60.2,45,41,278,67,14,0,13,35,0,3,27,0,2,6.08,7.33,1.68,80.3,66.3,0,-2.09
64,구승민,20롯,0,57,0,0,0,5,2,0,20,60.1,25,24,238,40,9,0,8,26,2,0,58,0,1,3.58,4.55,1.09,136.1,105.5,0,0.94
65,양현,20키,0,58,0,0,1,8,3,2,11,60,23,22,245,58,9,1,4,17,0,3,33,0,1,3.3,4.32,1.25,143,108.3,0,-0.17
66,김재웅,20키,0,43,0,0,7,1,4,0,2,59.2,36,31,258,64,18,0,7,23,1,2,51,0,4,4.68,4.58,1.46,100.9,100.9,0,-1.56
67,김원중,20롯,0,58,0,0,0,5,4,25,0,59.1,29,26,249,52,14,1,8,23,5,0,57,0,1,3.94,4.3,1.26,123.5,111.8,0,-0.63
68,백정현,20삼,0,11,0,0,11,4,4,0,0,59,43,34,258,67,15,2,13,17,0,1,46,0,1,5.19,5.78,1.42,94.6,85.6,0,-0.87
69,박상원,20한,0,62,0,0,0,1,0,1,10,58,35,30,256,62,14,1,8,20,4,4,52,1,2,4.66,4.59,1.41,101.6,104.2,0,-0.34
70,김윤수,20삼,0,61,0,0,0,3,5,0,12,58,34,30,266,66,9,0,6,31,3,1,41,0,7,4.66,4.99,1.67,105.4,97.8,0,-1.34
71,고영창,20K,0,48,0,0,0,1,1,1,2,58,46,44,275,88,19,0,3,17,2,5,23,2,6,6.83,4.47,1.81,70.3,106.9,0,-0.63
72,장민재,20한,0,24,0,0,10,2,7,0,0,57.1,44,43,267,86,19,2,5,13,0,2,32,0,1,6.75,4.36,1.73,70,109.8,0,-2.07
73,원종현,20N,0,58,0,0,0,3,5,30,0,57,30,27,245,56,5,1,4,20,1,2,41,0,4,4.26,4.13,1.33,114.6,116.7,0,0.6
74,최동환,20L,0,54,0,0,0,4,1,0,4,57,23,22,228,54,10,1,6,12,0,2,42,0,3,3.47,4.19,1.16,133.2,109.8,0,-0.04
75,송은범,20L,0,56,0,0,1,4,2,2,6,56,29,28,247,66,8,1,4,19,1,3,28,0,2,4.5,4.61,1.52,102.8,101,0,-0.15
76,이태양,20한S,0,53,0,0,0,2,1,0,4,56,35,34,250,68,12,1,8,16,2,1,45,0,3,5.46,4.61,1.5,88,105.9,0,0.08
77,함덕주,20두,0,36,0,0,6,5,1,10,2,55.1,25,24,240,55,7,0,2,21,2,0,55,0,7,3.9,3.07,1.37,118.7,152.5,0,-0.39
78,김범수,20한,0,24,0,0,8,3,6,0,0,55,34,32,259,55,11,2,9,42,3,3,55,0,1,5.24,5.97,1.76,90.3,80.2,0,-1.06
79,정우람,20한,0,50,0,0,0,3,5,16,0,54.1,29,29,230,58,11,1,4,12,1,5,53,0,2,4.8,3.45,1.29,98.4,138.6,0,1.02
80,이승현,20삼,0,65,0,0,0,1,2,0,14,54.1,22,21,226,45,7,1,11,25,1,0,52,0,2,3.48,5.6,1.29,141,88.2,0,0.25
81,조상우,20키,0,53,0,0,0,5,3,33,0,54.1,15,13,232,50,5,0,3,18,2,2,64,0,1,2.15,2.91,1.25,219.1,159,0,1.61
82,김진영,20한,0,58,0,0,0,3,3,0,8,54,26,20,231,48,4,0,6,22,0,3,56,0,5,3.33,4.32,1.3,141.8,110.9,0,-0.11
83,김민규,20두,0,29,0,0,4,1,2,1,0,53.1,30,29,231,47,14,0,3,22,2,3,54,0,1,4.89,3.56,1.29,94.7,130.7,0,0.19
84,김기훈,20K,0,22,0,0,7,0,4,0,1,52,35,31,238,58,11,1,8,31,0,2,39,0,3,5.37,5.96,1.71,89.5,80.4,0,-1.26
85,문경찬,20KN,0,56,0,0,0,0,5,10,11,52,35,29,225,51,10,1,11,15,0,2,44,0,0,5.02,5.59,1.27,96.6,86.5,0,-0.63
86,박민호,20S,0,57,0,0,0,2,1,4,11,52,16,14,215,43,9,0,4,19,0,2,36,0,0,2.42,4.38,1.19,199.1,110.8,0,-0.61
87,박준표,20K,0,50,0,0,0,7,1,6,11,51.2,16,9,205,41,3,0,3,8,2,0,44,0,2,1.57,2.96,0.95,306.2,162.2,0,1.35
88,이승진,20두,0,33,0,0,5,2,4,0,5,51.1,33,32,228,55,12,2,3,22,1,2,54,0,0,5.61,3.56,1.5,82.6,130.7,0,-0.66
89,김상수,20키,0,60,0,0,0,3,3,5,11,51.1,33,27,226,52,12,0,3,21,1,3,48,0,1,4.73,3.79,1.42,99.7,123.1,0,-0.11
90,윤대경,20한,0,55,0,0,0,5,0,0,7,51,16,9,225,48,7,0,3,25,3,3,42,0,1,1.59,4.14,1.43,297.7,115.5,0,0.61
91,김종수,20한,0,54,0,0,0,1,1,1,7,50,34,33,228,54,11,3,6,26,1,3,43,0,4,5.94,5.08,1.6,79.6,94.4,0,0.02
92,진해수,20L,0,76,0,0,0,4,2,0,22,50,27,24,230,54,6,0,3,23,2,4,59,0,5,4.32,3.48,1.54,107.1,133.2,0,-0.37
93,김대우,20롯,0,46,0,0,1,0,1,0,0,49.1,22,17,216,48,11,0,1,26,1,2,43,1,5,3.1,3.72,1.5,157.1,128.4,0,-0.94
