0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
순,이름,팀,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
1,페르난데스,20두DH,,144,668,586,104,199,29,0,21,291,105,0,1,58,13,1,42,26,0,11,0.34,0.404,0.497,0.901,0.406,146.5,,4.31
2,터커,20KRF,,142,631,542,100,166,40,0,32,302,113,0,2,76,9,3,67,12,0,4,0.306,0.398,0.557,0.955,0.42,149.6,,2.4
3,로하스,20KRF,,142,628,550,116,192,39,1,47,374,135,0,1,65,5,5,132,11,0,8,0.349,0.417,0.68,1.097,0.467,180.5,,7.29
4,전준우,20롯LF,,143,628,562,95,157,34,1,26,271,96,5,5,52,8,0,79,21,3,3,0.279,0.347,0.482,0.829,0.368,113.3,,1.75
5,김하성,20키SS,,138,622,533,111,163,24,1,30,279,109,23,2,75,8,3,68,12,3,3,0.306,0.397,0.523,0.921,0.407,147,,4.22
6,김현수,20LLF,,142,619,547,98,181,35,2,22,286,119,0,2,63,2,7,53,9,0,7,0.331,0.397,0.523,0.92,0.407,148.4,,5.17
7,이정후,20키RF,,140,617,544,85,181,49,5,15,285,101,12,2,59,4,6,47,16,2,8,0.333,0.397,0.524,0.921,0.406,142.8,,3.81
8,배정대,20KCF,,144,615,533,88,154,25,3,13,224,65,22,13,68,5,0,142,9,5,4,0.289,0.372,0.42,0.792,0.362,110.3,,0.95
9,김재환,20두LF,,140,613,515,82,137,26,1,30,255,113,6,0,91,1,3,154,14,0,6,0.266,0.374,0.495,0.869,0.385,135.2,,2.33
10,손아섭,20롯RF,,141,611,540,98,190,43,0,11,266,85,5,0,61,2,4,56,9,1,7,0.352,0.415,0.493,0.907,0.409,140.2,,4.57
11,이대호,20롯DH,,144,611,542,67,158,27,0,20,245,110,1,0,53,5,9,68,21,0,11,0.292,0.354,0.452,0.806,0.357,106.1,,3.56
12,최형우,20KDH,,140,600,522,93,185,37,1,28,308,115,0,0,70,5,5,101,9,0,3,0.354,0.433,0.59,1.023,0.45,169.3,,7.2
13,황재균,20K3B,,134,600,541,108,169,35,5,21,277,97,11,6,47,5,0,98,12,3,4,0.312,0.37,0.512,0.882,0.391,129.6,,3.52
14,서건창,20키DH,,135,595,484,79,134,28,5,5,187,52,24,10,91,5,1,58,8,5,10,0.277,0.39,0.386,0.776,0.361,111.4,,1.19
15,오지환,20LSS,,141,591,527,95,158,41,7,10,243,71,20,8,45,9,1,116,4,5,5,0.3,0.362,0.461,0.823,0.368,119.9,,1.21
16,로맥,20S1B,,139,586,485,85,137,32,0,32,265,91,4,2,91,6,5,116,5,0,4,0.282,0.399,0.546,0.946,0.414,142.7,,4.31
