0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
순,이름,팀,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
180,김재호,21두SS,-0.02,89,251,211,23,44,8,0,1,55,24,1,1,29,2,0,34,7,6,3,0.209,0.306,0.261,0.567,0.275,58.2,-0.02,-1.73
181,권정웅,21삼C,-0.02,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-126.4,-0.02,-0.02
182,오태양,21N,-0.02,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-126.4,-0.02,0
183,박시원,21N,-0.02,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-126.4,-0.02,-0.13
184,전민재,21두3B,-0.02,9,5,4,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0.25,0.2,0.25,0.45,0.192,0.1,-0.02,0.05
185,김건형,21KRF,-0.03,11,39,33,4,7,1,0,0,8,0,1,0,6,0,1,6,0,0,0,0.212,0.333,0.242,0.576,0.283,60.4,-0.03,0.06
186,김수환,21키1B,-0.04,13,43,40,5,8,2,0,2,16,5,0,0,2,0,0,17,2,0,1,0.2,0.233,0.4,0.633,0.281,65.6,-0.04,-0.08
187,이학주,21삼SS,-0.04,66,174,155,17,32,8,0,4,52,20,2,2,14,1,0,61,3,4,0,0.206,0.277,0.335,0.612,0.282,60.5,-0.04,-0.39
188,프레이타스,21키DH,-0.04,43,148,139,13,36,10,0,2,52,14,0,0,7,1,0,29,7,0,1,0.259,0.297,0.374,0.671,0.313,81.8,-0.04,-0.65
189,이주형,21키DH,-0.04,5,11,10,1,1,0,0,1,4,3,0,0,1,0,0,7,0,0,0,0.1,0.182,0.4,0.582,0.254,55.4,-0.04,0.19
190,김응민,21삼C,-0.04,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-126.4,-0.04,-0.06
191,박승규,21삼LF,-0.05,59,78,66,13,12,1,0,3,22,5,1,1,9,2,0,9,4,1,0,0.182,0.299,0.333,0.632,0.299,69.3,-0.05,-0.27
192,이태훈,21삼,-0.05,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-126.4,-0.05,0
193,김현준,21삼RF,-0.05,13,4,4,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.25,0.25,0.25,0.5,0.24,33.2,-0.05,-0.01
194,최민창,21LCF,-0.05,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-126.4,-0.05,0
195,최우재,21N,-0.05,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-126.4,-0.05,-0.01
196,유서준,21SCF,-0.05,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-126.4,-0.05,0
197,신성현,21두3B,-0.05,11,15,11,3,2,0,0,0,2,0,0,0,3,1,0,6,0,0,0,0.182,0.4,0.182,0.582,0.327,90.7,-0.05,0.05
198,지석훈,21N2B,-0.05,28,43,34,6,5,1,0,0,6,2,0,0,6,2,0,12,0,0,1,0.147,0.302,0.176,0.479,0.259,45.6,-0.05,0.02
199,이호연,21롯,-0.05,7,11,9,0,2,0,0,0,2,1,0,0,1,0,0,1,1,0,1,0.222,0.273,0.222,0.495,0.241,33.3,-0.05,-0.49
200,황윤호,21K3B,-0.06,6,19,17,2,3,0,0,0,3,0,0,0,1,1,0,3,1,0,0,0.176,0.263,0.176,0.44,0.231,26.1,-0.06,-0.18
201,문찬종,21키2B,-0.06,12,17,14,0,2,0,0,0,2,1,0,0,3,0,0,4,1,0,0,0.143,0.294,0.143,0.437,0.243,35.7,-0.06,-0.12
202,신민재,21L2B,-0.06,32,27,23,8,3,0,0,0,3,2,2,1,4,0,0,6,0,0,0,0.13,0.259,0.13,0.39,0.216,17.1,-0.06,-0.32
203,김주현,21롯DH,-0.06,8,17,16,1,4,0,0,0,4,0,0,0,1,0,0,6,0,0,0,0.25,0.294,0.25,0.544,0.269,51.5,-0.06,-0.34
204,정상호,21SC,-0.06,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-126.4,-0.06,-0.02
205,김용의,21L1B,-0.07,102,41,27,19,4,2,0,0,6,2,6,0,9,0,0,5,1,4,1,0.148,0.351,0.222,0.574,0.273,57.4,-0.07,0.36
206,오명진,21두,-0.07,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-126.4,-0.07,0
207,장준원,21L3B,-0.07,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-126.4,-0.07,0
208,백동훈,21두CF,-0.07,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-126.4,-0.07,-0.05
209,문상철,21KDH,-0.07,53,105,95,14,20,6,0,2,32,16,2,0,8,2,0,33,1,0,0,0.211,0.286,0.337,0.623,0.295,67.8,-0.07,-0.84
210,손호영,21LSS,-0.07,8,12,10,2,1,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0.1,0.25,0.1,0.35,0.205,11,-0.07,0.01
211,김민혁,21두,-0.07,6,8,6,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0.25,0,0.25,0.184,-2.7,-0.07,0.05
212,백승민,21삼,-0.08,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-126.4,-0.08,-0.01
213,안권수,21두RF,-0.08,87,47,42,17,10,0,1,0,12,4,3,0,3,0,0,3,0,2,0,0.238,0.289,0.286,0.575,0.266,48.7,-0.08,-0.25
214,오선진,21삼SS,-0.08,23,46,42,5,9,0,0,0,9,2,0,0,3,1,0,8,2,0,0,0.214,0.283,0.214,0.497,0.252,41.8,-0.08,-0.27
