0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
¼ø,ÀÌ¸§,ÆÀ,WAR,ÃâÀå,¿ÏÅõ,¿ÏºÀ,¼±¹ß,½Â,ÆÐ,¼¼,È¦µå,ÀÌ´×,½ÇÁ¡,ÀÚÃ¥,Å¸ÀÚ,¾ÈÅ¸,2Å¸,3Å¸,È¨·±,º¼³Ý,°í4,»ç±¸,»ïÁø,º¸Å©,ÆøÅõ,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
1,ÇíÅÍ,17K,5.86,30,1,0,30,20,5,0,0,201.2,83,78,854,221,36,4,21,45,1,5,149,0,7,3.48,4.34,1.32,142.7,115,5.86,1.34
2,Àå¿øÁØ,17µÎ,5.4,29,1,1,29,14,9,0,0,180.1,70,63,760,172,26,2,12,51,2,14,125,0,3,3.14,4.26,1.24,153.1,114,5.4,1.41
3,ÇÇ¾î¹êµå,17k,5.34,26,1,1,26,8,10,0,0,160,67,54,657,153,19,4,20,31,0,7,132,0,4,3.04,4.42,1.15,167,112.8,5.34,1
4,ÄÌ¸®,17S,5.11,30,0,0,30,16,7,0,0,190,85,76,815,204,38,3,16,45,2,11,189,1,9,3.6,3.69,1.31,139.8,136.9,5.11,1.6
5,·¹ÀÏ¸®,17·Ô,5.07,30,1,0,30,13,7,0,0,187.1,87,79,798,199,39,2,19,44,0,17,156,1,3,3.8,4.37,1.3,132.7,115.1,5.07,1.25
6,ÇãÇÁ,17L,4.95,19,2,0,17,6,4,0,0,124.2,37,33,490,100,20,2,7,14,0,2,98,0,2,2.38,3.28,0.91,203.1,148.5,4.95,2.93
7,¹Ú¼¼¿õ,17·Ô,4.67,28,0,0,28,12,6,0,0,171.1,74,70,725,170,25,1,21,56,2,9,117,0,7,3.68,5.07,1.32,137,99.3,4.67,1.23
8,¾çÇöÁ¾,17K,4.6,31,1,0,31,20,6,0,0,193.1,88,74,808,209,32,2,17,45,0,0,158,0,14,3.44,3.94,1.31,144.2,126.7,4.6,1.31
9,ÇØÄ¿,17N,4.52,26,1,0,26,12,7,0,0,160.1,64,61,672,159,19,2,14,29,1,14,97,2,6,3.42,4.45,1.17,145,112.4,4.52,1.4
10,¼Ò»ç,17L,4.22,30,2,1,29,11,11,1,0,185.1,86,80,769,189,36,9,11,38,0,3,153,0,3,3.88,3.52,1.23,124.6,138.3,4.22,0.5
11,Â÷¿ìÂù,17L,4.21,28,0,0,28,10,7,0,0,175.2,75,67,732,171,33,4,20,38,0,7,157,0,10,3.43,4.2,1.19,141,114.3,4.21,1.27
12,¼Õ½Â¶ô,17·Ô,4.13,61,0,0,0,1,3,37,0,62,16,15,250,59,3,1,7,11,2,1,62,1,0,2.18,3.69,1.13,231.4,136.8,4.13,2.62
