순,이름,팀,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
1,NC,20,,1979,5833,5102,888,1483,258,28,187,2358,845,101,38,529,104,21,997,106,46,51,0.291,0.366,0.462,0.828,0.37,114.9,,17.79
2,두산,20,,1894,5773,5043,816,1476,263,20,125,2154,776,88,37,551,68,20,796,132,38,73,0.293,0.365,0.427,0.792,0.359,114.1,,13.49
3,KT,20,,2002,5762,5047,813,1432,238,21,163,2201,767,106,50,554,52,20,1097,104,64,45,0.284,0.358,0.436,0.794,0.356,106.6,,15.08
4,키움,20,,1767,5721,4945,759,1332,254,25,127,2017,713,113,26,608,73,16,1030,107,43,52,0.269,0.355,0.408,0.762,0.347,104.3,,10.36
5,LG,20,,1985,5681,4999,802,1384,253,29,149,2142,760,83,39,509,75,21,969,115,49,49,0.277,0.349,0.428,0.778,0.35,108.8,,8.97
6,롯데,20,,1745,5669,4958,750,1366,252,6,131,2023,711,90,31,569,55,18,875,148,39,48,0.276,0.354,0.408,0.762,0.347,99.7,,10.01
7,KIA,20,,1807,5637,4933,724,1353,224,13,130,1993,692,47,25,534,69,10,957,113,63,38,0.274,0.351,0.404,0.755,0.343,98.6,,8.55
8,삼성,20,,1865,5574,4923,699,1317,211,12,129,1939,658,132,49,486,62,10,990,117,50,53,0.268,0.338,0.394,0.732,0.333,91.1,,-0.43
9,SK,20,,1897,5502,4839,634,1212,177,17,143,1852,595,81,45,511,69,18,981,112,49,34,0.25,0.329,0.383,0.711,0.324,85.3,,-2.01
10,한화,20,,1887,5483,4862,551,1189,195,12,79,1645,523,51,36,462,89,9,1163,119,45,25,0.245,0.32,0.338,0.658,0.306,76.9,,-12.09
