순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
1,NC,20,0,736,0,0,144,83,55,31,88,1296.2,714,661,5690,1292,199,15,153,547,10,79,1049,7,65,4.59,4.9,1.42,106.5,98.9,0,-3.39
2,LG,20,0,653,2,2,144,79,61,29,67,1292.2,694,631,5655,1344,240,17,123,493,12,86,1019,4,49,4.39,4.53,1.42,105.3,101.9,0,-0.02
3,KT,20,0,665,0,0,144,81,62,33,71,1290.1,715,654,5680,1357,227,9,118,523,20,59,848,1,75,4.56,4.74,1.46,105.3,100.4,0,-5.59
4,두산,20,0,656,1,0,144,78,61,23,43,1284.2,695,628,5676,1393,258,25,109,477,22,61,1046,4,52,4.4,4.24,1.46,105.3,109.2,0,-4.68
5,키움,20,0,730,0,0,144,80,63,42,81,1280.1,692,625,5556,1336,208,15,126,446,16,73,950,7,51,4.39,4.53,1.39,107.4,102.6,0,-1.72
6,롯데,20,0,689,1,0,144,71,72,25,59,1277.1,720,659,5583,1351,241,17,143,447,25,58,1002,4,62,4.64,4.57,1.41,104.9,105,0,-10.7
7,삼성,20,0,698,3,1,144,64,75,25,80,1272.1,745,676,5634,1330,222,16,151,542,16,67,931,5,56,4.78,5.03,1.47,102.6,97,0,-4.92
8,KIA,20,0,639,1,1,144,73,70,33,79,1269.1,795,725,5678,1398,265,34,120,559,8,70,1038,4,78,5.14,4.62,1.54,93.4,104,0,-7.3
9,한화,20,0,705,1,1,144,46,95,21,54,1265,820,744,5756,1400,240,18,158,609,22,79,1019,5,77,5.29,5.15,1.59,89.3,93,0,-12.46
10,SK,20,0,686,1,0,144,51,92,20,53,1259.1,846,783,5727,1343,225,17,162,670,12,84,953,5,85,5.6,5.48,1.6,86.2,88.9,0,-18.95
